aligned_name,source,taxonIDClean,taxonomicStatusClean,alternativeTaxonomicStatusClean,acceptedNameUsageID,canonicalName,scientificNameAuthorship,taxonRank,taxonomicStatus,family,subclass,taxonDistribution,ccAttributionIRI
Gastrolobium bilobum,APC,https://id.biodiversity.org.au/node/apni/2894665,accepted,NA,https://id.biodiversity.org.au/node/apni/2894665,Gastrolobium bilobum,R.Br.,Species,accepted,Fabaceae,Magnoliidae,WA,https://id.biodiversity.org.au/node/apni/2894665
Geijera parviflora,APC,https://id.biodiversity.org.au/node/apni/2919791,accepted,NA,https://id.biodiversity.org.au/node/apni/2919791,Geijera parviflora,Lindl.,Species,accepted,Rutaceae,Magnoliidae,"SA, Qld, NSW, Vic",https://id.biodiversity.org.au/node/apni/2919791
Heritiera littoralis,APC,https://id.biodiversity.org.au/node/apni/2907732,accepted,NA,https://id.biodiversity.org.au/node/apni/2907732,Heritiera littoralis,Aiton,Species,accepted,Malvaceae,Magnoliidae,"ChI, Qld",https://id.biodiversity.org.au/node/apni/2907732
Hibiscus tiliaceus,APC,https://id.biodiversity.org.au/taxon/apni/51288506,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51288506,Hibiscus tiliaceus,L.,Species,accepted,Malvaceae,Magnoliidae,"WA, CoI, ChI, NT, Qld, NSW, LHI, NI",https://id.biodiversity.org.au/taxon/apni/51288506
Hymenosporum flavum,APC,https://id.biodiversity.org.au/node/apni/2912289,accepted,NA,https://id.biodiversity.org.au/node/apni/2912289,Hymenosporum flavum,(Hook.) F.Muell.,Species,accepted,Pittosporaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/node/apni/2912289
Jacksonia scoparia,APC,https://id.biodiversity.org.au/node/apni/2917560,accepted,taxonomic synonym,https://id.biodiversity.org.au/node/apni/2917560,Jacksonia scoparia,R.Br.,Species,accepted,Fabaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/node/apni/2917560
Kunzea montana,APC,https://id.biodiversity.org.au/node/apni/2920830,accepted,NA,https://id.biodiversity.org.au/node/apni/2920830,Kunzea montana,(Diels) Domin,Species,accepted,Myrtaceae,Magnoliidae,WA,https://id.biodiversity.org.au/node/apni/2920830
Lantana camara,APC,https://id.biodiversity.org.au/taxon/apni/51448660,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51448660,Lantana camara,L.,Species,accepted,Verbenaceae,Magnoliidae,"WA (naturalised), NT (naturalised), SA (naturalised), Qld (naturalised), NSW (naturalised), Vic (doubtfully naturalised)",https://id.biodiversity.org.au/taxon/apni/51448660
Leptospermum,APC,https://id.biodiversity.org.au/taxon/apni/51440260,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51440260,Leptospermum,J.R.Forst. & G.Forst.,Genus,accepted,Myrtaceae,Magnoliidae,"WA (native and naturalised), NT, SA (native and naturalised), Qld (native and naturalised), NSW, LHI, ACT, Vic (native and naturalised), Tas (native and naturalised)",https://id.biodiversity.org.au/taxon/apni/51440260
Leptospermum attenuatum,APC,https://id.biodiversity.org.au/instance/apni/907635,taxonomic synonym,NA,https://id.biodiversity.org.au/node/apni/2908252,Leptospermum trinervium,(J.White) Joy Thomps.,Species,accepted,Myrtaceae,Magnoliidae,"Qld, NSW, ACT, Vic",https://id.biodiversity.org.au/node/apni/2908252
