checked,original_name,aligned_name,source,canonicalName,canonicalName_subbed,canonicalName_to_species,family,known,scientificNameAuthorship,subclass,taxonDistribution,taxonomicStatus,taxonRank
TRUE,Eucalyptus oligantha,Eucalyptus oligantha,APC list (accepted),Eucalyptus oligantha,Eucalyptus oligantha,Eucalyptus oligantha,Myrtaceae,TRUE,Schauer,Magnoliidae,"WA, NT",accepted,Species
TRUE,Eucalyptus orgadophila,Eucalyptus orgadophila,APC list (accepted),Eucalyptus orgadophila,Eucalyptus orgadophila,Eucalyptus orgadophila,Myrtaceae,TRUE,Maiden & Blakely,Magnoliidae,Qld,accepted,Species
TRUE,Eucalyptus ovata,Eucalyptus ovata,APC list (accepted),Eucalyptus ovata,Eucalyptus ovata,Eucalyptus ovata,Myrtaceae,TRUE,Labill.,Magnoliidae,"SA, NSW, Vic, Tas",accepted,Species
TRUE,Eucalyptus pachyphylla,Eucalyptus pachyphylla,APC list (accepted),Eucalyptus pachyphylla,Eucalyptus pachyphylla,Eucalyptus pachyphylla,Myrtaceae,TRUE,F.Muell.,Magnoliidae,"WA, NT, Qld",accepted,Species
TRUE,Eucalyptus panda,Eucalyptus panda,APC list (accepted),Eucalyptus panda,Eucalyptus panda,Eucalyptus panda,Myrtaceae,TRUE,S.T.Blake,Magnoliidae,"Qld, NSW",accepted,Species
TRUE,Eucalyptus paniculata,Eucalyptus paniculata,APC list (accepted),Eucalyptus paniculata,Eucalyptus paniculata,Eucalyptus paniculata,Myrtaceae,TRUE,Sm.,Magnoliidae,NSW,accepted,Species
TRUE,Eucalyptus pauciflora,Eucalyptus pauciflora,APC list (accepted),Eucalyptus pauciflora,Eucalyptus pauciflora,Eucalyptus pauciflora,Myrtaceae,TRUE,Sieber ex Spreng.,Magnoliidae,"SA, Qld, NSW, ACT, Vic, Tas",accepted,Species
TRUE,Eucalyptus pauciflora subsp. Niphophila,Eucalyptus pauciflora subsp. niphophila,APC list (accepted),Eucalyptus pauciflora subsp. niphophila,Eucalyptus pauciflora,Eucalyptus pauciflora,Myrtaceae,TRUE,(Maiden & Blakely) L.A.S.Johnson & Blaxell,Magnoliidae,"NSW, ACT, Vic",accepted,Subspecies
TRUE,Eucalyptus phoenicea,Eucalyptus phoenicea,APC list (accepted),Eucalyptus phoenicea,Eucalyptus phoenicea,Eucalyptus phoenicea,Myrtaceae,TRUE,F.Muell.,Magnoliidae,"WA, NT, Qld",accepted,Species
TRUE,Eucalyptus pilularis,Eucalyptus pilularis,APC list (accepted),Eucalyptus pilularis,Eucalyptus pilularis,Eucalyptus pilularis,Myrtaceae,TRUE,Sm.,Magnoliidae,"Qld, NSW",accepted,Species
TRUE,Eucalyptus piperita,Eucalyptus piperita,APC list (accepted),Eucalyptus piperita,Eucalyptus piperita,Eucalyptus piperita,Myrtaceae,TRUE,J.White,Magnoliidae,NSW,accepted,Species
TRUE,Eucalyptus planchoniana,Eucalyptus planchoniana,APC list (accepted),Eucalyptus planchoniana,Eucalyptus planchoniana,Eucalyptus planchoniana,Myrtaceae,TRUE,F.Muell.,Magnoliidae,"Qld, NSW",accepted,Species
TRUE,Eucalyptus platypus,Eucalyptus platypus,APC list (accepted),Eucalyptus platypus,Eucalyptus platypus,Eucalyptus platypus,Myrtaceae,TRUE,Hook.,Magnoliidae,WA,accepted,Species
TRUE,Eucalyptus polyanthemos,Eucalyptus polyanthemos,APC list (accepted),Eucalyptus polyanthemos,Eucalyptus polyanthemos,Eucalyptus polyanthemos,Myrtaceae,TRUE,Schauer,Magnoliidae,"NSW, ACT, Vic",accepted,Species
TRUE,Eucalyptus populnea,Eucalyptus populnea,APC list (accepted),Eucalyptus populnea,Eucalyptus populnea,Eucalyptus populnea,Myrtaceae,TRUE,F.Muell.,Magnoliidae,"Qld, NSW",accepted,Species
TRUE,Eucalyptus porosa,Eucalyptus porosa,APC list (accepted),Eucalyptus porosa,Eucalyptus porosa,Eucalyptus porosa,Myrtaceae,TRUE,F.Muell. ex Miq.,Magnoliidae,"SA, NSW, Vic",accepted,Species
TRUE,Eucalyptus calcicultrix,Eucalyptus calcicultrix,APC list (known names),Eucalyptus porosa,Eucalyptus porosa,Eucalyptus porosa,Myrtaceae,TRUE,F.Muell. ex Miq.,Magnoliidae,"SA, NSW, Vic",accepted,Species
TRUE,Eucalyptus propinqua,Eucalyptus propinqua,APC list (accepted),Eucalyptus propinqua,Eucalyptus propinqua,Eucalyptus propinqua,Myrtaceae,TRUE,H.Deane & Maiden,Magnoliidae,"Qld, NSW",accepted,Species
TRUE,Eucalyptus pulchella,Eucalyptus pulchella,APC list (accepted),Eucalyptus pulchella,Eucalyptus pulchella,Eucalyptus pulchella,Myrtaceae,TRUE,Desf.,Magnoliidae,Tas,accepted,Species
TRUE,Eucalyptus pulverulenta,Eucalyptus pulverulenta,APC list (accepted),Eucalyptus pulverulenta,Eucalyptus pulverulenta,Eucalyptus pulverulenta,Myrtaceae,TRUE,Sims,Magnoliidae,NSW,accepted,Species
TRUE,Eucalyptus punctata,Eucalyptus punctata,APC list (accepted),Eucalyptus punctata,Eucalyptus punctata,Eucalyptus punctata,Myrtaceae,TRUE,DC.,Magnoliidae,"Qld, NSW",accepted,Species
