aligned_name,source,taxonIDClean,taxonomicStatusClean,alternativeTaxonomicStatusClean,acceptedNameUsageID,canonicalName,scientificNameAuthorship,taxonRank,taxonomicStatus,family,subclass,taxonDistribution,ccAttributionIRI
Stachys,APC,https://id.biodiversity.org.au/node/apni/2892874,accepted,NA,https://id.biodiversity.org.au/node/apni/2892874,Stachys,L.,Genus,accepted,Lamiaceae,Magnoliidae,"WA (naturalised), SA (naturalised), Qld (naturalised), NSW (naturalised), LHI (naturalised), NI (naturalised), ACT (doubtfully naturalised), Vic (naturalised), Tas (naturalised)",https://id.biodiversity.org.au/tree/51354547/51241160
Sterculia,APC,https://id.biodiversity.org.au/node/apni/2886593,accepted,NA,https://id.biodiversity.org.au/node/apni/2886593,Sterculia,L.,Genus,accepted,Malvaceae,Magnoliidae,"WA, NT, Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51229938
Stylidiaceae,APC,https://id.biodiversity.org.au/taxon/apni/51311311,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51311311,Stylidiaceae,R.Br.,Familia,accepted,Stylidiaceae,Magnoliidae,"WA, NT, SA, Qld, NSW, ACT, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51242727
Syncarpia,APC,https://id.biodiversity.org.au/node/apni/2893498,accepted,NA,https://id.biodiversity.org.au/node/apni/2893498,Syncarpia,Ten.,Genus,accepted,Myrtaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51232309
Syncarpia glomulifera,APC,https://id.biodiversity.org.au/node/apni/2900963,accepted,NA,https://id.biodiversity.org.au/node/apni/2900963,Syncarpia glomulifera,(Sm.) Nied.,Species,accepted,Myrtaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51232312
Syzygium,APC,https://id.biodiversity.org.au/taxon/apni/51251045,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51251045,Syzygium,P.Browne ex Gaertn.,Genus,accepted,Myrtaceae,Magnoliidae,"WA, ChI, NT, Qld (native and naturalised), NSW (native and naturalised), LHI, NI (naturalised), Vic, Tas (naturalised)",https://id.biodiversity.org.au/tree/51354547/51232361
Syzygium australe,APC,https://id.biodiversity.org.au/node/apni/2901403,accepted,NA,https://id.biodiversity.org.au/node/apni/2901403,Syzygium australe,(J.C.Wendl. ex Link) B.Hyland,Species,accepted,Myrtaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51232419
Syzygium floribundum,APC,https://id.biodiversity.org.au/node/apni/2891080,accepted,taxonomic synonym,https://id.biodiversity.org.au/node/apni/2891080,Syzygium floribundum,F.Muell.,Species,accepted,Myrtaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51232424
Syzygium francisii,APC,https://id.biodiversity.org.au/node/apni/2911962,accepted,NA,https://id.biodiversity.org.au/node/apni/2911962,Syzygium francisii,(F.M.Bailey) L.A.S.Johnson,Species,accepted,Myrtaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51232387
Syzygium hemilamprum,APC,https://id.biodiversity.org.au/node/apni/2921123,accepted,NA,https://id.biodiversity.org.au/node/apni/2921123,Syzygium hemilamprum,(F.Muell.) Craven & Biffin,Species,accepted,Myrtaceae,Magnoliidae,"NT, Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51232430
